Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type,Month Name,Year
BS0000228,01-06-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.480604,Daylight,Kensington and Chelsea,None,-0.182865,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 18:00:00,Urban,Fine no high winds,Car,June,2021
BS0000229,06-06-2021,Saturday,Auto traffic signal,Crossroads,Slight,51.492747,Daylight,Kensington and Chelsea,None,-0.200533,2,3,Metropolitan Police,Dry,Dual carriageway,30,31-12-1899 17:45:00,Urban,Fine no high winds,Car,June,2021
BS0000230,05-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.493077,Daylight,Kensington and Chelsea,None,-0.169548,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 09:28:00,Urban,Fine no high winds,Car,June,2021
BS0000231,05-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.498261,Daylight,Kensington and Chelsea,None,-0.19657,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 09:01:00,Urban,Fine no high winds,Car,June,2021
BS0000232,29-05-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.480874,Daylight,Kensington and Chelsea,None,-0.177093,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 15:10:00,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over,May,2021
BS0000233,06-06-2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.484363,Daylight,Kensington and Chelsea,None,-0.158662,2,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 18:10:00,Urban,Fine no high winds,Car,June,2021
BS0000234,08-06-2021,Monday,Auto traffic signal,Crossroads,Slight,51.51417,Daylight,Kensington and Chelsea,None,-0.20776,3,2,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 20:05:00,Urban,Fine no high winds,Car,June,2021
BS0000235,09-06-2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.490352,Darkness - lights lit,Kensington and Chelsea,None,-0.190976,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 03:19:00,Urban,Raining no high winds,Car,June,2021
BS0000236,09-06-2021,Tuesday,Auto traffic signal,T or staggered junction,Serious,51.49185,Daylight,Kensington and Chelsea,None,-0.171614,2,1,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 09:40:00,Urban,Raining no high winds,Car,June,2021
BS0000237,09-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.497924,Daylight,Kensington and Chelsea,None,-0.198024,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 08:25:00,Urban,Fine no high winds,Car,June,2021
BS0000238,30-05-2021,Saturday,Give way or uncontrolled,Private drive or entrance,Slight,51.503107,Daylight,Kensington and Chelsea,None,-0.207618,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 12:30:00,Urban,Fine no high winds,Car,May,2021
BS0000239,05-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.488093,Daylight,Kensington and Chelsea,None,-0.167154,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 12:25:00,Urban,Fine no high winds,Car,June,2021
BS0000240,19-03-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.506187,Darkness - lights lit,Kensington and Chelsea,None,-0.209082,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 19:15:00,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,March,2021
BS0000241,11-06-2021,Thursday,Give way or uncontrolled,Crossroads,Slight,51.514399,Daylight,Kensington and Chelsea,None,-0.199248,4,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 09:10:00,Urban,Fine no high winds,Car,June,2021
BS0000242,11-06-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.503769,Darkness - lights lit,Kensington and Chelsea,None,-0.192174,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 22:10:00,Urban,Fine no high winds,Motorcycle over 500cc,June,2021
BS0000243,11-06-2021,Thursday,Give way or uncontrolled,Private drive or entrance,Slight,51.480233,Daylight,Kensington and Chelsea,None,-0.18216,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 19:15:00,Urban,Fine no high winds,Car,June,2021
BS0000244,11-06-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.4841,Daylight,Kensington and Chelsea,None,-0.176389,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 17:01:00,Urban,Fine no high winds,Car,June,2021
BS0000245,12-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.502114,Daylight,Kensington and Chelsea,None,-0.18979,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 08:00:00,Urban,Fine no high winds,Car,June,2021
BS0000246,11-06-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.50849,Daylight,Kensington and Chelsea,None,-0.200922,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 08:35:00,Urban,Fine no high winds,Car,June,2021
BS0000247,10-06-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.492968,Daylight,Kensington and Chelsea,None,-0.162637,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 09:05:00,Urban,Fine no high winds,Car,June,2021
BS0000248,12-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.49999,Daylight,Kensington and Chelsea,None,-0.163075,1,3,Metropolitan Police,Dry,Dual carriageway,30,31-12-1899 08:55:00,Urban,Fine no high winds,Car,June,2021
BS0000249,05-06-2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.519902,Daylight,Kensington and Chelsea,None,-0.212148,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 09:25:00,Urban,Fine no high winds,Car,June,2021
BS0000250,12-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.508627,Daylight,Kensington and Chelsea,None,-0.215759,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 17:28:00,Urban,Fine no high winds,Car,June,2021
BS0000251,12-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.506099,Daylight,Kensington and Chelsea,None,-0.20923,1,3,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 19:03:00,Urban,Fine no high winds,Car,June,2021
BS0000252,31-05-2021,Sunday,Auto traffic signal,Crossroads,Slight,51.502577,Daylight,Kensington and Chelsea,None,-0.214123,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 10:30:00,Urban,Fine no high winds,Car,May,2021
BS0000253,08-06-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.502159,Daylight,Kensington and Chelsea,None,-0.186906,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 14:45:00,Urban,Fine no high winds,Car,June,2021
BS0000254,09-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.482637,Daylight,Kensington and Chelsea,None,-0.186385,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 10:56:00,Urban,Fine no high winds,Car,June,2021
BS0000255,16-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.484273,Daylight,Kensington and Chelsea,None,-0.158666,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 18:45:00,Urban,Fine no high winds,Car,June,2021
BS0000256,15-06-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.497592,Daylight,Kensington and Chelsea,None,-0.159282,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 16:20:00,Urban,Fine no high winds,Car,June,2021
BS0000257,14-06-2021,Sunday,Give way or uncontrolled,Private drive or entrance,Slight,51.496665,Daylight,Kensington and Chelsea,None,-0.168972,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 12:35:00,Urban,Fine no high winds,Bus or coach (17 or more pass seats),June,2021
BS0000258,09-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.506185,Daylight,Kensington and Chelsea,None,-0.208938,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 16:50:00,Urban,Fine no high winds,Car,June,2021
BS0000259,12-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.517022,Darkness - lights lit,Kensington and Chelsea,None,-0.206063,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 02:04:00,Urban,Fine no high winds,Car,June,2021
BS0000260,15-06-2021,Monday,Auto traffic signal,Crossroads,Serious,51.491173,Daylight,Kensington and Chelsea,None,-0.18014,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 11:00:00,Urban,Fine no high winds,Car,June,2021
BS0000261,09-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.485633,Daylight,Kensington and Chelsea,None,-0.165093,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 12:00:00,Urban,Fine no high winds,Car,June,2021
BS0000262,15-06-2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.512443,Daylight,Kensington and Chelsea,None,-0.206531,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 19:30:00,Urban,Raining no high winds,Bus or coach (17 or more pass seats),June,2021
BS0000263,12-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.501545,Daylight,Kensington and Chelsea,None,-0.19961,2,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 16:15:00,Urban,Fine no high winds,Car,June,2021
BS0000264,11-06-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.503223,Daylight,Kensington and Chelsea,None,-0.191763,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 18:45:00,Urban,Fine no high winds,Car,June,2021
BS0000265,17-06-2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.487021,Daylight,Kensington and Chelsea,None,-0.179153,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 15:25:00,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over,June,2021
BS0000266,19-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.484282,Daylight,Kensington and Chelsea,None,-0.159242,2,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 13:35:00,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc,June,2021
BS0000267,16-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.486145,Daylight,Kensington and Chelsea,None,-0.180628,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 12:34:00,Urban,Fine no high winds,Car,June,2021
BS0000268,18-06-2021,Thursday,Auto traffic signal,T or staggered junction,Serious,51.502044,Daylight,Kensington and Chelsea,None,-0.19109,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 08:01:00,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over,June,2021
BS0000269,17-06-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.494517,Daylight,Kensington and Chelsea,None,-0.169634,1,3,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 18:03:00,Urban,Fine no high winds,Car,June,2021
BS0000270,19-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.505849,Daylight,Kensington and Chelsea,None,-0.210536,2,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 13:11:00,Urban,Fine no high winds,Car,June,2021
BS0000271,17-06-2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.49185,Daylight,Kensington and Chelsea,None,-0.171614,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 11:40:00,Urban,Fine no high winds,Car,June,2021
BS0000272,20-06-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.499686,Daylight,Kensington and Chelsea,None,-0.183979,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 12:43:00,Urban,Fine no high winds,Car,June,2021
BS0000273,26-03-2021,Thursday,Auto traffic signal,Crossroads,Slight,51.492659,Daylight,Kensington and Chelsea,None,-0.200681,1,2,Metropolitan Police,Dry,Dual carriageway,30,31-12-1899 11:30:00,Urban,Fine no high winds,Car,March,2021
BS0000274,14-08-2021,Friday,Auto traffic signal,Crossroads,Slight,51.512947,Daylight,Kensington and Chelsea,None,-0.204205,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 07:25:00,Urban,Fine no high winds,Car,August,2021
BS0000275,23-06-2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.482076,Daylight,Kensington and Chelsea,None,-0.173445,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 13:30:00,Urban,Fine no high winds,Car,June,2021
BS0000276,26-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.52456,Daylight,Kensington and Chelsea,None,-0.210956,1,1,Metropolitan Police,Dry,One way street,30,31-12-1899 15:40:00,Urban,Fine no high winds,Car,June,2021
BS0000277,28-06-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486015,Darkness - lights lit,Kensington and Chelsea,None,-0.172279,1,3,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 22:50:00,Urban,Fine no high winds,Car,June,2021
BS0000278,25-06-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.525339,Daylight,Kensington and Chelsea,None,-0.214818,2,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 12:48:00,Urban,Fine no high winds,Car,June,2021
BS0000279,25-06-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.501768,Daylight,Kensington and Chelsea,None,-0.184905,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 19:30:00,Urban,Fine no high winds,Car,June,2021
BS0000280,27-06-2021,Saturday,Auto traffic signal,Crossroads,Serious,51.490683,Daylight,Kensington and Chelsea,None,-0.183328,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 20:04:00,Urban,Fine no high winds,Car,June,2021
BS0000281,21-06-2021,Sunday,Auto traffic signal,Roundabout,Slight,51.504054,Daylight,Hammersmith and Fulham,None,-0.216658,1,2,Metropolitan Police,Dry,Roundabout,30,31-12-1899 19:25:00,Urban,Fine no high winds,Car,June,2021
BS0000282,29-06-2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.494685,Daylight,Kensington and Chelsea,None,-0.192101,2,1,Metropolitan Police,Dry,Dual carriageway,30,31-12-1899 08:30:00,Urban,Fine no high winds,Car,June,2021
BS0000283,24-06-2021,Wednesday,Give way or uncontrolled,Mini-roundabout,Slight,51.493031,Daylight,Kensington and Chelsea,None,-0.183955,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 16:35:00,Urban,Fine no high winds,Car,June,2021
BS0000284,27-06-2021,Saturday,Auto traffic signal,Crossroads,Slight,51.515172,Daylight,Kensington and Chelsea,None,-0.208585,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 15:32:00,Urban,Fine no high winds,Car,June,2021
BS0000285,21-06-2021,Sunday,Give way or uncontrolled,Crossroads,Slight,51.48771,Daylight,Kensington and Chelsea,None,-0.188776,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 17:57:00,Urban,Fine no high winds,Car,June,2021
BS0000286,29-06-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.48483,Daylight,Kensington and Chelsea,None,-0.182841,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 09:20:00,Urban,Other,Car,June,2021
BS0000287,23-06-2021,Tuesday,Auto traffic signal,More than 4 arms (not roundabout),Serious,51.493966,Daylight,Kensington and Chelsea,None,-0.174698,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 18:30:00,Urban,Fine no high winds,Car,June,2021
BS0000288,30-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.494593,Daylight,Kensington and Chelsea,None,-0.168767,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 12:00:00,Urban,Fine no high winds,Car,June,2021
BS0000289,30-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.495811,Daylight,Kensington and Chelsea,None,-0.171887,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 11:37:00,Urban,Fine no high winds,Car,June,2021
BS0000290,25-06-2021,Thursday,Auto traffic signal,Crossroads,Slight,51.493761,Daylight,Kensington and Chelsea,None,-0.178884,1,2,Metropolitan Police,Dry,Dual carriageway,30,31-12-1899 16:50:00,Urban,Fine no high winds,Car,June,2021
BS0000291,23-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.494087,Daylight,Kensington and Chelsea,None,-0.182473,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 16:08:00,Urban,Fine no high winds,Motorcycle over 500cc,June,2021
BS0000292,15-06-2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.527783,Darkness - lights lit,Westminster,None,-0.215876,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 22:55:00,Urban,Raining no high winds,Car,June,2021
BS0000293,02-07-2021,Thursday,Auto traffic signal,Crossroads,Slight,51.482074,Darkness - lights lit,Kensington and Chelsea,None,-0.173301,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 21:45:00,Urban,Fine no high winds,Car,July,2021
BS0000294,03-07-2021,Friday,Auto traffic signal,Crossroads,Slight,51.48342,Daylight,Kensington and Chelsea,None,-0.167342,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 07:37:00,Urban,Fine no high winds,Car,July,2021
BS0000295,05-07-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.501766,Daylight,Kensington and Chelsea,None,-0.184761,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 14:11:00,Urban,Fine no high winds,Car,July,2021
BS0000296,04-07-2021,Saturday,Auto traffic signal,Crossroads,Slight,51.489442,Daylight,Kensington and Chelsea,None,-0.190292,2,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 19:10:00,Urban,Fine no high winds,Motorcycle 125cc and under,July,2021
BS0000297,03-07-2021,Friday,Give way or uncontrolled,Crossroads,Slight,51.490517,Daylight,Kensington and Chelsea,None,-0.178437,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 20:00:00,Urban,Fine no high winds,Car,July,2021
BS0000298,03-07-2021,Friday,Auto traffic signal,Crossroads,Slight,51.484361,Daylight,Kensington and Chelsea,None,-0.175802,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 08:42:00,Urban,Fine no high winds,Car,July,2021
BS0000299,03-07-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.487657,Daylight,Kensington and Chelsea,None,-0.168036,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 18:45:00,Urban,Fine no high winds,Car,July,2021
BS0000300,02-07-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.507623,Darkness - lights lit,Kensington and Chelsea,None,-0.21479,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 23:00:00,Urban,Fine no high winds,Car,July,2021
BS0000301,01-07-2021,Wednesday,Give way or uncontrolled,Crossroads,Slight,51.51417,Darkness - lights lit,Kensington and Chelsea,None,-0.20776,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 20:40:00,Urban,Fine no high winds,Car,July,2021
BS0000302,27-06-2021,Saturday,Auto traffic signal,T or staggered junction,Slight,51.493607,Daylight,Kensington and Chelsea,None,-0.16895,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 09:30:00,Urban,Fine no high winds,Car,June,2021
BS0000303,04-07-2021,Saturday,Give way or uncontrolled,Crossroads,Serious,51.487637,Daylight,Kensington and Chelsea,None,-0.178264,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 16:30:00,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under,July,2021
BS0000304,24-06-2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.489535,Daylight,Kensington and Chelsea,None,-0.155861,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 08:45:00,Urban,Fine no high winds,Car,June,2021
BS0000305,05-07-2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.495361,Daylight,Kensington and Chelsea,None,-0.177668,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 13:30:00,Urban,Fine no high winds,Car,July,2021
BS0000306,24-06-2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.494756,Daylight,Kensington and Chelsea,None,-0.185039,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 15:40:00,Urban,Fine no high winds,Car,June,2021
BS0000307,25-06-2021,Thursday,Give way or uncontrolled,Crossroads,Slight,51.485581,Daylight,Kensington and Chelsea,None,-0.173305,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 09:00:00,Urban,Fine no high winds,Bus or coach (17 or more pass seats),June,2021
BS0000308,27-06-2021,Saturday,Auto traffic signal,T or staggered junction,Slight,51.507206,Daylight,Kensington and Chelsea,None,-0.205151,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 19:05:00,Urban,Raining no high winds,Car,June,2021
BS0000309,07-07-2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.520005,Daylight,Kensington and Chelsea,None,-0.224828,1,2,Metropolitan Police,Dry,Roundabout,30,31-12-1899 12:00:00,Urban,Fine no high winds,Car,July,2021
BS0000310,10-07-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.511621,Daylight,Kensington and Chelsea,None,-0.194025,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 08:34:00,Urban,Fine no high winds,Car,July,2021
BS0000311,10-07-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.521272,Daylight,Kensington and Chelsea,None,-0.213535,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 17:00:00,Urban,Fine no high winds,Car,July,2021
BS0000312,08-07-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.512346,Daylight,Kensington and Chelsea,None,-0.21792,1,3,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 13:18:00,Urban,Fine no high winds,Car,July,2021
BS0000313,06-07-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.494756,Daylight,Kensington and Chelsea,None,-0.185039,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 15:20:00,Urban,Raining no high winds,Car,July,2021
BS0000314,10-07-2021,Friday,Auto traffic signal,Crossroads,Slight,51.502577,Daylight,Kensington and Chelsea,None,-0.214123,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 15:36:00,Urban,Fine no high winds,Car,July,2021
BS0000315,08-07-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.496471,Daylight,Kensington and Chelsea,None,-0.173878,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 16:23:00,Urban,Raining no high winds,Car,July,2021
BS0000316,11-07-2021,Saturday,Auto traffic signal,Crossroads,Slight,51.49265,Daylight,Kensington and Chelsea,None,-0.200105,1,2,Metropolitan Police,Dry,Dual carriageway,30,31-12-1899 11:50:00,Urban,Fine no high winds,Motorcycle over 500cc,July,2021
BS0000317,08-07-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486451,Daylight,Kensington and Chelsea,None,-0.171397,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 10:00:00,Urban,Fine no high winds,Car,July,2021
BS0000318,04-07-2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.488493,Daylight,Kensington and Chelsea,None,-0.181255,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 08:51:00,Urban,Fine no high winds,Car,July,2021
BS0000319,09-07-2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.499201,Daylight,Kensington and Chelsea,None,-0.164404,2,4,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 08:10:00,Urban,Other,Car,July,2021
BS0000320,10-07-2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.503495,Daylight,Kensington and Chelsea,None,-0.215384,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 10:09:00,Urban,Fine no high winds,Car,July,2021
BS0000321,14-07-2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.491899,Daylight,Kensington and Chelsea,None,-0.157494,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 15:40:00,Urban,Fine no high winds,Car,July,2021
BS0000322,14-07-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.482582,Daylight,Kensington and Chelsea,None,-0.171264,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 18:30:00,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc,July,2021
BS0000323,06-07-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.500477,Daylight,Kensington and Chelsea,None,-0.194465,1,2,Metropolitan Police,Dry,One way street,30,31-12-1899 15:15:00,Urban,Fine no high winds,Motorcycle over 500cc,July,2021
BS0000324,13-07-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.499455,Daylight,Kensington and Chelsea,None,-0.209922,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 15:30:00,Urban,Fine no high winds,Car,July,2021
BS0000325,17-05-2021,Sunday,Give way or uncontrolled,Crossroads,Serious,51.51508,Daylight,Kensington and Chelsea,None,-0.208445,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 14:15:00,Urban,Fine no high winds,Car,May,2021
BS0000326,14-07-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.499635,Daylight,Kensington and Chelsea,None,-0.163378,1,2,Metropolitan Police,Dry,Dual carriageway,30,31-12-1899 09:12:00,Urban,Fine no high winds,Car,July,2021
BS0000327,30-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.492714,Daylight,Kensington and Chelsea,None,-0.157893,1,1,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 10:20:00,Urban,Fine no high winds,Car,June,2021
BS0000328,03-07-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.50191,Daylight,Westminster,None,-0.159396,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,31-12-1899 05:15:00,Urban,Other,Motorcycle 50cc and under,July,2021
BS0000329,16-07-2021,Thursday,Give way or uncontrolled,T or staggered junction,Serious,51.486622,Daylight,Kensington and Chelsea,None,-0.170814,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 09:00:00,Urban,Fine no high winds,Car,July,2021
BS0000330,15-07-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.496862,Darkness - lights lit,Kensington and Chelsea,None,-0.204981,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 23:00:00,Urban,Fine no high winds,Car,July,2021
BS0000331,15-07-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.487745,Daylight,Kensington and Chelsea,None,-0.167889,1,2,Metropolitan Police,Dry,Single carriageway,30,31-12-1899 16:35:00,Urban,Fine no high winds,Car,July,2021
BS0000332,11-07-2021,Saturday,Give way or uncontrolled,Mini-roundabout,Slight,51.523977,Darkness - lights lit,Kensington and Chelsea,None,-0.214006,1,2,Metropolitan Police,Dry,Roundabout,30,31-12-1899 01:25:00,Urban,Fine no high winds,Car,July,2021
